936567326,joncampbell123/dosbox-x,2021-07-05,2021-01-05,12918,1189
941489296,mozilla/sccache,2021-07-11,2021-01-11,1051,30
951429255,rustdesk/rustdesk,2021-07-23,2021-01-23,225,84
952956841,SevenTV/chatterino7,2021-07-26,2021-01-26,2558,29
963088392,PyCQA/pycodestyle,2021-08-06,2021-02-06,1114,16
976125179,znc/znc,2021-08-21,2021-02-21,5360,22
978528716,Python-Markdown/markdown,2021-08-24,2021-02-24,1428,11
980057113,WordPress/gutenberg,2021-08-26,2021-02-26,7951,176
985432324,doctrine/orm,2021-09-01,2021-03-01,10878,53
985447779,symfony/symfony,2021-09-01,2021-03-01,55362,2909
986045665,psf/requests,2021-09-02,2021-03-02,5407,3
993768928,curl/curl,2021-09-11,2021-03-11,23039,95
997299420,libretro/RetroArch,2021-09-15,2021-03-15,53470,892
1004915962,JodaOrg/joda-time,2021-09-23,2021-03-23,2138,1
1011467346,Python-Markdown/markdown,2021-09-29,2021-03-29,1428,9
1013314736,ruby/www.ruby-lang.org,2021-10-01,2021-04-01,6155,43
1014671924,ohmyzsh/ohmyzsh,2021-10-04,2021-04-04,5555,89
1026512862,SudhanPlayz/Discord-MusicBot,2021-10-14,2021-04-14,42,35
1027933041,flatpak/xdg-desktop-portal,2021-10-16,2021-04-16,992,49
1034748634,JodaOrg/joda-time,2021-10-25,2021-04-25,2141,3
1034782242,JodaOrg/joda-time,2021-10-25,2021-04-25,2141,3
1034926389,JodaOrg/joda-time,2021-10-25,2021-04-25,2141,3
1034930502,JodaOrg/joda-time,2021-10-25,2021-04-25,2141,3
1036757791,PowerDNS-Admin/PowerDNS-Admin,2021-10-26,2021-04-26,738,21
1043368759,EbookFoundation/free-programming-books,2021-11-03,2021-05-03,5163,1
1047632192,microsoft/winget-cli,2021-11-08,2021-05-08,16,0
1058585621,oven-sh/bun,2021-11-19,2021-05-19,1116,993
1060667929,IntellectualSites/PlotSquared,2021-11-22,2021-05-22,3737,24
1072125460,libretro/RetroArch,2021-12-06,2021-06-06,53892,842
1072818585,scikit-learn/scikit-learn,2021-12-07,2021-06-07,24941,18
1075227076,google/glog,2021-12-09,2021-06-09,528,60
1075975020,James-Yu/LaTeX-Workshop,2021-12-09,2021-06-09,3505,274
1077325481,tailscale/tailscale,2021-12-11,2021-06-11,3345,889
1084937435,JuliaLang/julia,2021-12-20,2021-06-20,43620,111
1086819542,dresden-elektronik/deconz-rest-plugin,2021-12-22,2021-06-22,4864,349
1087047886,npm/cli,2021-12-22,2021-06-22,9429,3
1087972186,doitsujin/dxvk,2021-12-23,2021-06-23,1467,145
1089763044,LGBT-CN/LGBTQIA-In-China,2021-12-28,2021-06-28,117,28
1090473508,James-Yu/LaTeX-Workshop,2021-12-29,2021-06-29,3531,271
1090475055,James-Yu/LaTeX-Workshop,2021-12-29,2021-06-29,3531,271
1092238495,opnsense/core,2022-01-03,2021-07-03,13304,440
1093353244,James-Yu/LaTeX-Workshop,2022-01-04,2021-07-04,3543,268
1093916422,James-Yu/LaTeX-Workshop,2022-01-05,2021-07-05,3544,266
1096297382,NickeManarin/ScreenToGif,2022-01-07,2021-07-07,957,95
1097100861,electron/electron-rebuild,2022-01-09,2021-07-09,581,116
1097421627,James-Yu/LaTeX-Workshop,2022-01-10,2021-07-10,3560,277
1100051808,restsharp/RestSharp,2022-01-12,2021-07-12,1792,63
1100433367,nexe/nexe,2022-01-12,2021-07-12,560,6
1102918184,spring-projects/spring-framework,2022-01-14,2021-07-14,23368,801
1104666990,ipython/ipython,2022-01-15,2021-07-15,24644,403
1107247166,WordPress/WordPress-Coding-Standards,2022-01-18,2021-07-18,2376,6
1107373635,nvim-treesitter/nvim-treesitter,2022-01-18,2021-07-18,1909,507
1110181012,doctrine/orm,2022-01-21,2021-07-21,10924,73
1118392130,MinecraftForge/MinecraftForge,2022-01-30,2021-07-30,7222,44
1127749209,microsoft/winget-pkgs,2022-02-08,2021-08-08,12,4
1128211306,whatwg/html,2022-02-09,2021-08-09,10924,26
1134552993,GTNewHorizons/GT-New-Horizons-Modpack,2022-02-12,2021-08-12,5752,236
1136028189,truecharts/charts,2022-02-13,2021-08-13,2933,1555
1137539452,mrdoob/three.js,2022-02-14,2021-08-14,32412,254
1137624289,James-Yu/LaTeX-Workshop,2022-02-14,2021-08-14,3608,275
1144972959,golang/go,2022-02-20,2021-08-20,51894,2194
1145514858,golang/go,2022-02-21,2021-08-21,51896,2178
1149608900,ViaVersion/ViaVersion,2022-02-24,2021-08-24,1757,3
1153731840,James-Yu/LaTeX-Workshop,2022-02-28,2021-08-28,3650,312
1156931157,rubygems/rubygems.org,2022-03-02,2021-09-02,6680,88
1159293958,ansible/ansible,2022-03-04,2021-09-04,45655,112
1160410716,reactjs/reactjs.org,2022-03-05,2021-09-05,4153,63
1160417956,reactjs/reactjs.org,2022-03-05,2021-09-05,4153,63
1160500635,MicrosoftDocs/Contribute,2022-03-06,2021-09-06,311,23
1161973878,chalk/chalk,2022-03-07,2021-09-07,303,4
1163541364,composer/packagist,2022-03-09,2021-09-09,1702,1
1165209319,composer/packagist,2022-03-10,2021-09-10,1702,1
1165300669,composer/composer,2022-03-10,2021-09-10,8625,11
1165880637,composer/composer,2022-03-11,2021-09-11,8625,11
1166060886,composer/composer,2022-03-11,2021-09-11,8625,11
1166065051,composer/composer,2022-03-11,2021-09-11,8625,11
1166956712,composer/packagist,2022-03-11,2021-09-11,1702,1
1167187542,composer/packagist,2022-03-12,2021-09-12,1702,1
1170768726,WordPress/WordPress-Coding-Standards,2022-03-16,2021-09-16,2377,6
1173784895,citizenfx/fivem,2022-03-18,2021-09-18,8334,673
1174122161,composer/packagist,2022-03-19,2021-09-19,1702,1
1176509018,cucumber/cucumber-js,2022-03-22,2021-09-22,1037,17
1181103738,truecharts/charts,2022-03-25,2021-09-25,3156,1075
1183333507,vercel/next.js,2022-03-28,2021-09-28,5196,371
1186681963,citizenfx/fivem,2022-03-30,2021-09-30,8367,617
1190943329,cucumber/cucumber-js,2022-04-03,2021-10-03,1039,18
1190959350,helium/HIP,2022-04-03,2021-10-03,196,19
1201901612,James-Yu/LaTeX-Workshop,2022-04-12,2021-10-12,3792,388
1201906086,sveltejs/kit,2022-04-12,2021-10-12,520,16
1204776791,LukeSmithxyz/based.cooking,2022-04-14,2021-10-14,215,4
1208013839,termux/termux-packages,2021-07-26,2021-01-26,14104,1111
1210960989,scikit-learn/scikit-learn,2022-04-21,2021-10-21,24944,4
1211570918,pinojs/pino,2022-04-21,2021-10-21,1045,11
1212965768,google/blockly,2022-04-22,2021-10-22,4861,18
1213461044,vuetifyjs/vuetify,2022-04-23,2021-10-23,11204,446
1215298581,sherlock-project/sherlock,2022-04-26,2021-10-26,1101,64
1221806426,TryGhost/Ghost,2022-04-30,2021-10-30,26500,3088
1227174892,Python-Markdown/markdown,2022-05-05,2021-11-05,1436,7
1239779668,anuraghazra/github-readme-stats,2022-05-18,2021-11-18,122,1
1241570951,anuraghazra/github-readme-stats,2022-05-19,2021-11-19,122,1
1242792738,kubernetes/website,2022-05-20,2021-11-20,19486,1686
1247545715,sass/node-sass,2022-05-25,2021-11-25,2476,10
1248033266,encode/uvicorn,2022-05-25,2021-11-25,457,0
1251713538,composer/composer,2022-05-28,2021-11-28,8627,4
1252756496,libsdl-org/SDL,2022-05-30,2021-11-30,9095,855
1268409097,fw876/helloworld,2022-06-12,2021-12-12,152,43
1269479010,citizenfx/fivem,2022-06-13,2021-12-13,8591,553
1278268505,composer/composer,2022-06-21,2021-12-21,8627,3
1279826564,microsoft/vscode,2022-06-22,2021-12-22,76013,1179
1282455505,nestjs/nest-cli,2022-06-23,2021-12-23,1294,144
1283290082,nullworks/cathook,2022-06-24,2021-12-24,0,0
1285334524,AdguardTeam/AdguardFilters,2022-06-27,2021-12-27,111303,11955
1291899006,php/php-src,2022-07-01,2022-01-01,125339,696
1294541749,exercism/python,2022-07-05,2022-01-05,3160,544
1299391458,composer/composer,2022-07-08,2022-01-08,8628,3
1300661048,maxcountryman/flask-login,2022-07-11,2022-01-11,312,1
1301011966,elebumm/RedditVideoMakerBot,2022-07-11,2022-01-11,353,353
1302976360,MicrosoftDocs/memdocs,2022-07-13,2022-01-13,25244,2449
1303268876,neovim/neovim,2022-07-13,2022-01-13,15607,891
1307091650,microsoft/TypeScript,2022-07-17,2022-01-17,26705,92
1308973136,LibreELEC/LibreELEC.tv,2022-07-19,2022-01-19,35374,994
1314537659,mozilla/pdf.js,2022-07-22,2022-01-22,13171,390
1317881905,arduino/Arduino,2022-07-26,2022-01-26,7284,0
1321670019,johnsoncodehk/volar,2022-07-29,2022-01-29,2594,666
1329147554,composer/composer,2022-08-04,2022-02-04,8628,3
1331118596,expo/expo,2022-08-07,2022-02-07,8590,274
1335276663,citizenfx/fivem,2022-08-10,2022-02-10,8748,472
1335371535,truecharts/charts,2022-08-11,2022-02-11,3933,1003
1336452733,osmandapp/OsmAnd,2022-08-11,2022-02-11,61894,1415
1336666723,Cog-Creators/Red-DiscordBot,2022-08-12,2022-02-12,1101,2
1345038447,space-wizards/space-station-14,2022-08-20,2022-02-20,4619,1096
1345626221,doctrine/dbal,2022-08-21,2022-02-21,8157,48
1352488799,fabricjs/fabric.js,2022-08-26,2022-02-26,3897,0
1353459869,composer/composer,2022-08-28,2022-02-28,8628,3
1361207935,Pradumnasaraf/open-source-with-pradumna,2022-09-04,2022-03-04,25,25
1367665070,doctrine/orm,2022-09-09,2022-03-09,11012,60
1369100843,netbox-community/netbox,2022-09-11,2022-03-11,9109,791
1388421768,CastagnaIT/plugin.video.netflix,2022-09-27,2022-03-27,1661,16
1391469768,truecharts/charts,2022-09-29,2022-03-29,4189,983
1393703235,CastagnaIT/plugin.video.netflix,2022-10-02,2022-04-02,1662,17
1396213107,anuraghazra/github-readme-stats,2022-10-04,2022-04-04,126,4
1396696603,CastagnaIT/plugin.video.netflix,2022-10-04,2022-04-04,1663,18
1400909737,freeCodeCamp/freeCodeCamp,2022-10-07,2022-04-07,26996,295
1402211429,Pryaxis/TShock,2022-10-09,2022-04-09,4763,63
1402253291,Pryaxis/TShock,2022-10-09,2022-04-09,4763,63
1406636959,freeCodeCamp/freeCodeCamp,2022-10-12,2022-04-12,27008,292
1410698334,microsoft/vscode,2022-10-17,2022-04-17,76423,558
1412007705,openscad/openscad,2022-10-17,2022-04-17,9580,88
1414333398,PrismLauncher/Translations,2022-10-19,2022-04-19,218,176
1418577350,doctrine/dbal,2022-10-21,2022-04-21,8181,57
1418948680,Warzone2100/warzone2100,2022-10-21,2022-04-21,18077,470
1428767280,Monika-After-Story/MonikaModDev,2022-10-30,2022-04-30,6382,404
1442544013,flutter/flutter,2022-11-09,2022-05-09,36402,3273
