id,issue_id,project_name,startDate,endDate,count_before,count_halfyear
141,556620312,rails/rails,2020-01-29T03:55:37Z,2020-01-29T18:46:18Z,65834,985
142,565358712,libretro/RetroArch,2020-02-14T14:25:27Z,2020-02-23T14:25:39Z,38868,1395
143,567185616,Homebrew/homebrew-bundle,2020-02-18T22:02:12Z,2020-02-19T16:06:25Z,683,24
144,569316203,jekyll/jekyll,2020-02-22T10:38:44Z,2020-05-11T09:09:50Z,9268,104
145,569895996,Sitecore/jss,2020-02-24T14:34:05Z,2022-05-03T14:45:51Z,200,21
146,574196668,matplotlib/matplotlib,2020-03-02T19:31:53Z,2020-03-18T14:29:22Z,26949,880
147,577744765,expressjs/express,2020-03-09T08:47:07Z,2020-07-27T02:52:51Z,5568,23
148,586054883,memcached/memcached,2020-03-23T09:21:26Z,2020-03-23T17:44:04Z,1502,97
149,595484179,mitmproxy/mitmproxy,2020-04-06T23:13:40Z,2020-04-09T06:49:03Z,7898,209
150,598170002,openscad/openscad,2020-04-11T02:22:03Z,2020-04-12T19:23:08Z,7489,181
151,603093257,EasyNetQ/EasyNetQ,2020-04-20T09:39:10Z,2020-04-29T11:59:02Z,1338,7
152,608513361,chef/ohai,2020-04-28T18:10:10Z,2020-04-28T18:10:10Z,2457,94
153,610982272,jshttp/mime-db,2020-05-01T21:41:08Z,2022-01-10T13:09:14Z,599,52
154,613337048,apache/couchdb,2020-05-06T13:51:40Z,2023-07-06T17:23:23Z,10683,229
155,618265614,emscripten-core/emscripten,2020-05-14T14:13:05Z,2020-05-22T09:10:32Z,18302,73
156,619762251,symfony/symfony,2020-05-17T17:56:39Z,2020-05-21T15:17:29Z,46163,2583
157,620694982,bigbluebutton/bigbluebutton,2020-05-19T05:44:00Z,2020-05-20T22:09:46Z,23548,589
158,627087857,libretro/RetroArch,2020-05-29T08:16:02Z,2020-05-29T15:20:14Z,39759,1580
159,628465400,pandas-dev/pandas,2020-06-01T14:04:55Z,2020-06-01T15:23:05Z,19527,807
160,631364219,OpenRA/OpenRA,2020-06-05T07:07:35Z,2020-12-31T22:12:06Z,25449,603
161,633703607,rubygems/rubygems,2020-06-07T19:46:04Z,2020-06-07T23:53:49Z,19007,697
162,636440138,openzfs/zfs,2020-06-10T17:55:21Z,2020-06-11T05:04:06Z,5333,111
163,638202113,nodejs/node,2020-06-13T17:41:50Z,2022-07-04T18:49:12Z,23859,914
164,638643486,openzfs/zfs,2020-06-15T08:19:17Z,2020-06-15T17:32:33Z,5335,99
165,638768339,openzfs/zfs,2020-06-15T11:17:13Z,2020-06-15T19:49:46Z,5335,99
166,639051823,openzfs/zfs,2020-06-15T18:27:25Z,2020-06-15T18:27:25Z,5336,100
167,639068210,openzfs/zfs,2020-06-15T18:57:36Z,2020-06-16T02:22:45Z,5337,101
168,639133998,rust-lang/rust,2020-06-15T20:34:00Z,2020-06-15T21:21:19Z,120740,11444
169,643360992,libretro/RetroArch,2020-06-22T21:06:38Z,2020-06-23T17:53:47Z,40149,1785
170,652371218,heroku/heroku-buildpack-ruby,2020-07-07T14:29:03Z,2020-07-07T14:30:49Z,1714,62
171,652809371,angular/angular,2020-07-08T01:25:12Z,2022-05-27T12:19:42Z,18674,2215
172,654775761,ipython/ipython,2020-07-10T13:17:17Z,2020-07-21T01:43:18Z,21940,177
173,657523246,sinonjs/sinon,2020-07-15T17:22:42Z,2020-07-22T08:00:33Z,2834,88
174,663559628,sinonjs/sinon,2020-07-22T08:01:49Z,2020-07-22T09:55:11Z,2835,79
175,669419291,google/WebFundamentals,2020-07-31T05:10:00Z,2020-07-31T05:10:00Z,7988,14
176,670691047,rust-lang/rust,2020-08-01T09:15:23Z,2020-08-02T12:35:41Z,123387,11283
177,704818674,jamulussoftware/jamulus,2020-09-19T06:41:37Z,2022-04-22T18:34:26Z,2523,931
178,707573131,FreeRADIUS/freeradius-server,2020-09-23T18:09:06Z,2020-09-23T18:25:44Z,14801,148
179,708907357,nextcloud/server,2020-09-25T12:45:59Z,2022-04-25T14:08:51Z,28353,162
180,709556703,fluentmigrator/fluentmigrator,2020-09-26T15:24:11Z,2020-09-26T15:24:11Z,2058,39
181,722281859,vuepress-theme-hope/vuepress-theme-hope,2020-10-15T12:17:06Z,2022-02-19T17:38:04Z,0,
182,723058396,doctrine/dbal,2020-10-16T09:26:02Z,2020-10-31T16:28:15Z,3116,27
183,723862818,James-Yu/LaTeX-Workshop,2020-10-17T22:51:25Z,2022-12-08T13:42:00Z,2815,364
184,724775047,TeamNewPipe/NewPipeExtractor,2020-06-01T20:55:35Z,2022-09-23T18:51:49Z,734,321
185,727127817,rubygems/rubygems,2020-10-22T07:29:52Z,2020-10-23T12:11:01Z,19100,298
186,732267627,FreeRADIUS/freeradius-server,2020-10-29T12:22:22Z,2020-10-30T20:45:11Z,14829,165
187,741692283,symfony/symfony,2020-11-12T15:25:16Z,2020-11-13T12:16:39Z,48994,2890
188,747855745,EbookFoundation/free-programming-books,2020-11-20T23:16:43Z,2022-02-14T18:05:23Z,4758,
189,761569005,Rapptz/discord.py,2020-12-10T20:01:44Z,2022-03-06T04:51:24Z,2541,190
190,765312275,James-Yu/LaTeX-Workshop,2020-12-13T11:41:59Z,2022-05-18T08:27:13Z,2930,328
191,770384781,flutter/flutter,2020-12-17T21:34:10Z,2020-12-17T21:34:10Z,24644,2565
192,774501385,deepmodeling/deepmd-kit,2020-12-24T16:12:52Z,2020-12-24T16:12:52Z,94,37
193,774727384,ipython/ipython,2020-12-25T12:54:33Z,2021-02-01T21:37:31Z,22114,186
194,777338361,spring/spring,2021-01-01T19:22:49Z,2021-01-01T21:39:10Z,13381,75
195,786108116,pandas-dev/pandas,2021-01-14T15:59:31Z,2021-02-17T19:31:00Z,19532,5
196,795394794,flutter/flutter,2021-01-27T19:48:17Z,2022-08-19T13:22:46Z,25172,2550
197,795993177,doctrine/orm,2021-01-28T13:13:36Z,2021-01-30T17:51:38Z,5794,9
198,807725060,rstudio/rstudio,2021-02-13T10:46:38Z,2023-10-20T20:26:59Z,29873,1477
199,814421264,expressjs/express,2021-02-23T12:31:48Z,2022-02-17T16:01:51Z,5595,8
200,814840135,microsoft/clrmd,2021-02-23T21:20:50Z,2021-02-23T21:20:50Z,456,
201,831174119,GTNewHorizons/GT-New-Horizons-Modpack,2021-03-14T14:43:18Z,2021-03-14T18:31:30Z,5308,357
